species name,West Chukotka (CW),Wrangler Island (WI),South Chukotka (CS),East Chukotka (CE),North Alaska - Yukon Territory (AN),Western Alaska (AW),Central Canada (CC),Hudson Bay - Labrador (HL),Ellesmere Land-Northern Greenland (EP),Western Greenland (GW),Eastern Greenland (GE),North Iceland (NI),Jan Mayen (JM),North Fennoscandia (FN),Svalbard (SF),Franz Joseph Land (FJL),Kanin-Pechora (KP),Polar Ural-Novaya Zemlya (UN),Yamal-Gydan (YG),Anabar-Olenyok (AO),Taimyr-Severnaya Zemlya (Tm),Kharaulakh (Kh),Yana-Kolyma (YK),
Rumex acetosella L. ,,,,,,○,,×,,○,○,,,,○,,,●,●,,×,●,,Polygonaceae
Rumex aquaticus L.,●,,,,,,,,,,,,,,,,,,,,×,,,Polygonaceae
Rumex confertus Willd.,,,,,,,,,,,,,,×,,,●,●,,,,,,Polygonaceae
Rumex crispus L.,,,,,,●,,,,,,,,,○,,○,,,,,,,Polygonaceae
Rumex longifolius DC.,,,,●,,,,,,●,,×,○,,○,,●,,●,,×,,,Polygonaceae
Rumex maritimus L.,,,,,,,,,,,,,,,,,○,,,,×,,,Polygonaceae
Rumex obtusifolius subsp. sylvestris (Lam.) Celak.,,,,,,,,,,,,○,,,,,,,,,,,,Polygonaceae
Rumex obtusifolius subsp. obtusifolius L.,,,,,,,,,,○,,,,,,,,,,,,,,Polygonaceae
Rumex thyrsiflorus Fingerh.,,,,,,,,,,,,,,,,,,○,,,,,,Polygonaceae
Rumex ucranicus Fisch.,,,,,,,,,,,,,,,,,○,,,,,,,Polygonaceae
Sagina procumbens L. ,,,,,,,,×,,,,,,,,,●,●,,,,,,Caryophyllaceae
Salix alaxensis (Anderss.) Coville,,,,,,,,,,,,●,,,,,,,,,,,,Salicaceae
Salix myrsinifolia subsp. borealis (Flod.) A.K.Skvortsov,,,,,,,,,,,,●,,,,,,,,,,,,Salicaceae
Sanguisorba alpina Bunge,,,,,,,,,,,,●,,,,,,,,,,,,Rosaceae
Sanguisorba officinalis L.,,,,,,,,,,,,,,,○,,,,,,,,,Rosaceae
Saussurea alpina (L.) DC.,,,,,,,,,,,,,,,○,,,,,,,,,Asteraceae
Saxifraga hypnoides L.,,,,,,,,,,,,,,×,,,,,,,,,,Saxifragaceae
Saxifraga umbrosa L.,,,,,,,,,,,,○,,,,,,,,,,,,Saxifragaceae
Schedonorus pratensis (Huds.) P. Beauv.,×,,○,,,IR,,,,●,,,,×,,,○,●,,,×,,,Poaceae
Scorzoneroides autumnalis Moench,,,,,,IR,,,,●,,,,×,,,●,●,,,×,,,Asteraceae
Secale cereale L.,,,,,,,,,,,,○,,,○,,○,,,,,,,Poaceae
Senecio pseudoarnica Less.,,,,,,,,,,,,●,,,,,,,,,,,,Asteraceae
Senecio vernalis Waldst. & Kit.,,,,,,,,,,,,○,,,,,,,,,,,,Asteraceae
Senecio viscosus L.,,,,,,,,,,,,,,,,,●,,,,,,,Asteraceae
Senecio vulgaris L.,,,,○,×,○,,×,,●,,×,,,○,,●,,,,,,,Asteraceae
Silene dioica subsp. dioica (L.) Clairv. ,,,,,,,,,,,,●,,,,,,,,,,,,Caryophyllaceae
Silene flos-cuculi (L.) Greuter & Burdet,,,,,,,,,,,,,,,,,○,○,,,,,,Caryophyllaceae
Silene latifolia subsp. alba (Miller) Greuter & Burdet,,,,,,,,,,,,,,,○,,○,●,,,,,,Caryophyllaceae
Silene noctiflora L.,,,,,,○,,,,,,,,,,,,,,,,,,Caryophyllaceae
Silene vulgaris subsp. vulgaris (Moench) Garcke,,,,,,,,,,○,,,,×,,,●,●,,,×,,,Caryophyllaceae
Sinapis alba L.,,,,,,,,,,,,○,,,,,○,,,,,,,Brassicaceae
Sinapis arvensis L.,,,○,○,,,,,,,,○,,,○,,●,,,,,○,,Brassicaceae
Sisymbrium altissimum L.,,,,,,,,,,,,○,,,○,,○,,,,,,,Brassicaceae
Sisymbrium loeselii L.,,,,,,,,,,,,,,,,,○,,,,,,,Brassicaceae
Sisymbrium polymorphum (Murray) Roth,,,,,,,,,,,,,,,,,○,,,,,,,Brassicaceae
Sisyrinchium montanum Greene,,,,,,,,,,●,,,,,,,,,,,,,,Iridaceae
Sonchus arvensis L.,,,,●,,,×,×,,,,,,,,,○,,,,×,,,Asteraceae
Sonchus oleraceus L.,,,,,,,,,,,,,,,○,,●,,,,,,,Asteraceae
Spergularia rubra (L.) J. Presl & C. Presl,,,,,,,,,,●,,,,×,,,,,,,,,,Caryophyllaceae
Sphallerocarpus gracilis (Besser ex Trevir.) Koso-Pol.,,,×,●,,,,,,,,,,,,,,,,,,,,Apiaceae
Stellaria graminea L.,,,,,,,,,,●,,●,,,○,,,,,,,,,Caryophyllaceae
Stellaria holostea L.,,,,,,,,,,,,,,,,,,○,,,,,,Caryophyllaceae
Stellaria media (L.) Vill.,●,,●,●,●,●,×,×,,,,,,,●,,●,○,●,,●,,,Caryophyllaceae
Symphytum asperum Lepechin,,,,,,,,,,,,,,×,,,○,,,,,,,Boraginaceae
Tanacetum vulgare ,,,,,,,×,,,○,,○,,×,○,,●,,,,×,●,,Asteraceae
Taraxacum ruderalia agg.,,,,,IR,IR,×,●,,●,,,,,●,,●,●,,,,,,Asteraceae
Thlaspi arvense L.,,,,○,,○,×,○,,●,,○,,×,○,,●,○,,,×,,,Brassicaceae
Tragopogon orientalis L.,,,,,,,,,,,,,,,,,○,,,,,,,Asteraceae
Trifolium arvense L.,,,,,,,,,,,,,,,,,○,,,,,,,Fabaceae
Trifolium hybridum L.,,,,,IT,IR,,×,,●,,●,,×,○,,●,●,,,×,,,Fabaceae
Trifolium lupinaster L.,×,,○,,,,,,,,,,,,,,,,,,,,,Fabaceae
Trifolium montanum L.,,,,,,,,,,,,,,×,,,,,,,,,,Fabaceae
Trifolium pratense L.,,,●,×,,,,,,●,,●,,×,○,,●,●,●,,×,,,Fabaceae
Trifolium repens L.,,,,,×,IR,,×,,●,,,,,●,,●,●,●,,×,●,,Fabaceae
Trifolium spadiceum L.,,,,,,,,,,,,,,,,,○,○,,,,,,Fabaceae
Trifolium variegatum Torr. & A.Gray,,,,,,○,,,,,,,,,,,,,,,,,,Fabaceae
Tripleurospermum inodorum (L.) Sch.-Bip,,,,,,IR,×,,,○,,○,,×,○,,●,○,○,,,●,,Asteraceae
Tripleurospermum maritimum subsp. subpolare (Pobed.) Hämet-Ahti,,,,,,,,,,●,,,,,●,,,,,,,,,Asteraceae
Tripleurospermum tetragonospermum (F. Schmidt) Pobed.,●,,,,,,,,,,,,,,,,,,,,,,,Asteraceae
Triticum aestivum L.,,,,,,,,,,,,○,,,,,○,,,,,,,Poaceae
Tussilago farfara L.,,,,,,,,,,,,,,,○,,,,,,,,,Asteraceae
Urtica dioica subsp. dioica L. ,,,,,,,,,,●,,●,,,○,,●,●,●,,,,●,Urticaceae
Urtica urens L.,,,,,,,,,,●,,,,,,,○,,○,,,,,Urticaceae
Valeriana officinalis L.,,,,,,,,,,,,○,,,,,○,,,,,,,Caprifoliaceae
Veronica chamaedrys L.,,,,,,,,,,,,,,×,,,,,,,,,,Plantaginaceae
Veronica gentianoides Vahl,,,,,,,,,,,,○,,,,,,,,,,,,Plantaginaceae
Veronica longifolia L.,,,,,,,,,,,,,,,○,,,,,,,,,Plantaginaceae
Veronica serpyllifolia subsp. serpyllifolia L.,,,,,,,,,,●,,,,,,,●,,,,,,,Plantaginaceae
Vicia angustifolia L.,,,,,,,,,,,,,,,,,○,,,,,,,Fabaceae
Vicia cracca L.,,,,,IT,IT,,×,,,,,,,,,,,,,,,,Fabaceae
Vicia hirsuta (L.)Gray,,,,,,,,,,,,,,,,,●,○,,,,●,,Fabaceae
Vicia sativa L.,,,,,,,,,,,,○,,,○,,○,,,,,,,Fabaceae
Vicia sepium L.,,,,,,,,,,●,,,,×,,,,,,,,,,Fabaceae
Vicia tenuifolia Roth,,,,,,,,,,,,,,,,,●,,,,,,,Fabaceae
Vicia tetrasperma (L.)Schreb.,,,,,,,,,,,,,,,,,,,,,,○,,Fabaceae
Viola arvensis Murray,,,,,,,,,,,,,,,,,○,,,,,,,Violaceae 
Viola tricolor L. ,,,,,,,,,,,,,,×,,,,,,,,,,Violaceae 
