refinedScientificName,usageKey
Albizia lebbeck,2973215
Albizia lebbekoides,2973099
Albizia niopoides,2973046
Albizia procera,2973167
Albizia saponaria,2973156
Albuca bracteata,3647605
Albuca canadensis,2772339
Albuca flaccida,2772325
Albuca nelsonii,2772431
Albuca virens,8704606
Alcea biennis,5617600
Alcea rosea,5406789
Alcea rugosa,5617467
Alcea setosa,5617456
Alchemilla australiana,3027504
Alchemilla baltica,3027531
Alchemilla conjuncta,3028431
Alchemilla cymatophylla,3027997
Alchemilla glaucescens,3027452
Alchemilla heptagona,3028123
Alchemilla incisa,3027518
Alchemilla nitida,3028580
Alchemilla plicata,3027653
Alchemilla propinqua,3027751
Alchemilla sarmatica,3028392
Alchemilla sericata,7362772
Alchemilla speciosa,3028148
Alchemilla tytthantha,3028586
Alchemilla venosa,3027923
Alchemilla vulgaris,7890713
Alchemilla wichurae,3027538
Alchemilla xanthochlora,3028198
Alchornea latifolia,3055359
Aldama dentata,3117992
Aldama tuberosa,7579235
Aldrovanda vesiculosa,3190715
Alectra sessiliflora,7331592
Aleurites cordata,3074905
Aleurites moluccanus,4930679
Aleurites triloba,4930681
Alhagi maurorum,2945092
Alisma gramineum,2865152
Alisma lanceolatum,2865125
Alkekengi officinarum,3797084
Allaeanthus luzonicus,8317606
Allamanda blanchetii,3169835
Allamanda cathartica,3169836
Allamanda schottii,3169838
Alliaria petiolata,5376075
Allium altissimum,2856834
Allium ampeloprasum,2856037
Allium angulosum,2855717
Allium ascalonicum,2856558
Allium atropurpureum,2856009
Allium atroviolaceum,2857640
Allium bidentatum,2856767
Allium carinatum,2855968
Allium cepa,2857697
Allium chinense,2856307
Allium commutatum,2855802
Allium cyrilli,2856340
Allium fistulosum,2856504
Allium flavum,2856261
Allium fuscum,2855999
Allium hollandicum,2856920
Allium lusitanicum,2855705
Allium moly,2855825
Allium neapolitanum,2856348
Allium nigrum,2855823
Allium nutans,2857498
Allium oleraceum,2857071
Allium orientale,2856517
Allium paniculatum,2856288
Allium paradoxum,2857017
Allium pendulinum,2856456
Allium proliferum,3697844
Allium ramosum,2857449
Allium roseum,2855893
Allium rotundum,2855963
Allium sativum,2856681
Allium schoenoprasum,2855860
Allium scorodoprasum,9177060
Allium siculum,2856204
Allium sphaerocephalon,2857616
Allium strictum,2856145
Allium subhirsutum,2855683
Allium textile,2855724
Allium triquetrum,2856457
Allium tuberosum,2856297
Allium ursinum,2857601
Allium victorialis,2857132
Allium vineale,7792960
Allium zebdanense,2857341
Allmania nodiflora,8398088
Allocasuarina diminuta,2891898
Allocasuarina littoralis,2891918
Allocasuarina verticillata,2891902
Allophylus cobbe,9364157
Alloteropsis cimicina,2703273
Alnus alnobetula,8956987
Alnus alnobetula sinuata,8166740
Alnus cordata,2876607
Alnus fauriei,2876601
Alnus glutinosa,2876213
Alnus incana,9148577
Alnus incana rugosa,2876469
Alnus nepalensis,2876187
Alnus rubra,2876176
Alnus sieboldiana,2876524
Alocasia brisbanensis,5329885
Alocasia cucullata,5329867
Alocasia longiloba,5329978
Alocasia macrorrhizos,5329904
Alocasia odora,9506227
Alocasia sanderiana,5329946
Aloe arborescens,2777537
Aloe brevifolia,2777639
Aloe camperi,2777151
Aloe humilis,2777339
Aloe maculata,2777430
Aloe massawana,2778113
Aloe officinalis,2777592
Aloe parvibracteata,8102806
Aloe plicatilis,2777937
Aloe schimperi,2777762
Aloe striata,2778035
Aloe succotrina,9520660
Aloe vera,2777724
Aloiampelos ciliaris,9527904
Aloiampelos striatula,9287107
Alopecurus carolinianus,5290094
Alopecurus creticus,5290082
Alopecurus japonicus,5672215
Alopecurus longiaristatus,4107626
Alopecurus myosuroides,5290097
Alopecurus rendlei,5290073
Alopecurus utriculatus,7990979
Aloysia citrodora,5667503
Aloysia gratissima,5341161
Alphitonia excelsa,3039494
Alpinia conchigera,5302311
Alpinia galanga,5302225
Alpinia malaccensis,5302216
Alpinia mutica,5302190
Alpinia nigra,5302041
Alpinia nutans,5301940
Alpinia officinarum,5302199
Alpinia purpurata,5301960
Alpinia uraiensis,5301991
Alpinia vittata,5302160
Alpinia zerumbet,5301979
Alsophila australis,7314637
Alsophila lepifera,7936045
Alsophila speciosa,5529648
Alstonia macrophylla,5414411
Alstonia scholaris,5414410
Alstonia venenata,5535596
Alstroemeria aurea,2753786
Alternanthera bettzickiana,8189919
Alternanthera brasiliana,3084934
Alternanthera caracasana,3084958
Alternanthera ficoidea,8160803
Alternanthera flavescens,3084964
Alternanthera halimifolia,8806206
Alternanthera littoralis,8137643
Alternanthera paronychioides,3084922
Alternanthera philoxeroides,3084923
Alternanthera pulchella,7323598
Alternanthera pungens,3084949
Alternanthera ramosissima,3084966
Alternanthera reineckii,3674859
Alternanthera sessilis,3084939
Althaea armeniaca,3933860
Althaea cannabina,3152519
Althaea officinalis,3152520
Alysicarpus bupleurifolius,2948656
Alysicarpus monilifer,2948685
Alysicarpus ovalifolius,8230720
Alysicarpus rugosus,2948646
Alysicarpus vaginalis,2948605
Alyssum alyssoides,3044855
Alyssum desertorum,3044743
Alyssum libycum,3040812
Alyssum minutum,3044840
Alyssum montanum,3044912
Alyssum rostratum,3044823
Alyssum simplex,3045042
Alyssum szovitsianum,3044810
Amaranthus albus,7905507
Amaranthus arenicola,5384355
Amaranthus australis,5384328
Amaranthus blitoides,5384395
Amaranthus blitum,8911082
Amaranthus blitum emarginatus,7366984
Amaranthus blitum oleraceus,5548035
Amaranthus blitum pseudogracilis,5548033
Amaranthus budensis,8202428
Amaranthus cannabinus,5384402
Amaranthus caudatus,6109611
Amaranthus celosioides,5547995
Amaranthus crassipes,5384404
Amaranthus crispus,5384341
Amaranthus cruentus,5384390
Amaranthus deflexus,5384396
Amaranthus dubius,8279930
Amaranthus galii,5547939
Amaranthus graecizans,5384373
Amaranthus graecizans silvestris,7826322
Amaranthus hybridus,5384364
Amaranthus hybridus quitensis,5547857
Amaranthus hypochondriacus,9080185
Amaranthus macrocarpus,7323833
Amaranthus mitchellii,7323810
Amaranthus muricatus,5384332
Amaranthus ozanonii,7720079
Amaranthus palmeri,5384393
Amaranthus polygonoides,5384342
Amaranthus powellii,5384359
Amaranthus powellii bouchonii,5548528
Amaranthus retroflexus,6109534
Amaranthus roxburghianus,3085074
Amaranthus spinosus,5384401
Amaranthus standleyanus,5548401
Amaranthus thunbergii,5384383
Amaranthus tricolor,5384397
Amaranthus tuberculatus,8577467
Amaranthus viridis,5384334
Amaryllis belladonna,5325855
Amberboa moschata,3122190
Amblyolepis setigera,3094351
Amblyopappus pusillus,3140179
Ambrosia acanthicarpa,3110626
Ambrosia arborescens,8424273
Ambrosia artemisiifolia,8002952
Ambrosia bidentata,3110685
Ambrosia confertiflora,3110654
Ambrosia grayi,3110651
Ambrosia psilostachya,3110686
Ambrosia tenuifolia,3110580
Ambrosia tomentosa,3110615
Ambrosia trifida,3110588
Amelanchier alnifolia,8168485
Amelanchier canadensis,3023833
Amelanchier embergeri,8093727
Amelanchier laevis,3023832
Amelanchier lamarckii,3024109
Amelanchier neglecta,9311350
Amelanchier ovalis,3023878
Amelanchier quinti-martii,3023929
Amelanchier sanguinea grandiflora,3023848
Amelanchier spicata,3023817
Amethystea caerulea,4930999
Amherstia nobilis,2968146
Ammannia auriculata,3188714
Ammannia baccifera,3188716
Ammannia capitellata,7796827
Ammannia coccinea,3188711
Ammannia latifolia,3188717
Ammannia multiflora,7286192
Ammannia robusta,3188708
Ammannia verticillata,3188707
Ammi majus,3034182
Ammobium alatum,3133446
Ammocharis longifolia,5325609
Ammophila arenaria,
Ammophila breviligulata,5289843
Ammoselinum butleri,3034504
Amomyrtus luma,3186044
Amorpha fruticosa,5357407
Amorpha paniculata,5357374
Amorphophallus paeoniifolius,2871533
Ampelamus laevis,3582005
Ampelaster carolinianus,3104916
Ampelocissus arachnoidea,4054310
Ampelocissus indica,4053804
Ampelodesmos mauritanicus,4925448
Ampelopsis aconitifolia,3039182
Ampelopsis cordata,3039183
Ampelopsis glandulosa,7293727
Ampelopsis glandulosa brevipedunculata,4052825
Ampelopsis humulifolia,4052600
Amphiachyris dracunculoides,3110041
Amphibromus fluitans,4105765
Amphibromus neesii,4105724
Amphibromus nervosus,4105703
Amphicarpaea bracteata,2960161
Amphilophium buccinatorium,7916836
Amphilophium crucigerum,4931838
Amphilophium paniculatum,3172589
Amsinckia calycina,4060237
Amsinckia eastwoodiae,2925879
Amsinckia lycopsoides,2925874
Amsinckia menziesii,2925870
Amsinckia menziesii intermedia,4273336
Amsinckia spectabilis,2925881
Amsinckia tessellata,2925877
Amsonia tabernaemontana,3169689
Amsonia tabernaemontana salicifolia,3618691
Anacardium occidentale,5421368
Anacyclus clavatus,3148589
Anacyclus pyrethrum,3148578
Anacyclus radiatus,3148560
Anagallis arvensis foemina,4005890
Anagallis arvensis parviflora,7676027
Anagyris foetida,2946427
Ananas comosus,5288819
Anaphalioides bellidioides,3096972
Anaphalis margaritacea,4926336
Anarrhinum bellidifolium,8114833
Anchusa aegyptiaca,2498
Anchusa arvensis,7831178
Anchusa arvensis orientalis,8364222
Anchusa azurea,5341198
Anchusa capensis,5341200
Anchusa leptophylla,8353055
Anchusa ochroleuca,5662089
Anchusa officinalis,5341201
Anchusa procera,5341202
Anchusa stylosa,7295349
Anchusa thessala,5661914
Anchusa undulata hybrida,5341194
Andira inermis,2952214
Andrachne telephioides,3079631
Andrographis echioides,3173179
