"Species_SubSpecies"
"Rumex sibiricus"
"Rumex hultenii"
"Rumex pallidus subarcticus"
"Rumex maritimus"
"Rumex fueginus"
"Rumex acetosa acetosa"
"Rumex acetosa islandicus"
"Rumex acetosa lapponicus"
"Rumex acetosa pseudoxyria"
"Rumex thyrsiflorus"
"Rumex oblongifolius"
"Rumex acetosella acetosella"
"Rumex acetosella tenuifolius"
"Rumex acetosella arenicola"
"Rumex krausei"
"Rumex beringensis"
"Rumex aureostigmaticus"
"Rumex graminifolius"
"Rheum compactum"
"Stellaria media"
"Stellaria bungeana"
"Stellaria nemorum  nemorum"
"Stellaria crassifolia"
"Stellaria humifusa"
"Stellaria calycantha"
"Stellaria borealis borealis"
"Stellaria graminea"
"Stellaria palustris"
"Stellaria fennica"
"Stellaria hebecalyx"
"Stellaria umbellata"
"Stellaria longifolia"
"Stellaria longipes s. lat."
"Stellaria alaskana"
"Stellaria eschscholtziana"
"Stellaria fischeriana"
"Stellaria jacutica"
"Cerastium cerastoides"
"Cerastium maximum"
"Cerastium davuricum"
"Cerastium arvense strictum"
"Cerastium alpinum alpinum"
"Cerastium alpinum var. glabrum"
"Cerastium alpinum ""nova"""
"Cerastium alpinum lanatum"
"Cerastium nigrescens var. laxum"
"Cerastium arcticum"
"Cerastium beeringianum"
"Cerastium fischerianum"
"Cerastium regelii"
"Cerastium jenisejense"
"Cerastium fontanum fontanum"
"Cerastium fontanum vulgare"
"Sagina saginoides"
"Sagina procumbens"
"Sagina subulata"
"Sagina nodosa borealis"
"Sagina nivalis"
"Sagina caespitosa"
"Minuartia verna  verna"
"Minuartia rubella"
"Minuartia stricta"
"Minuartia dawsonensis"
"Minuartia rossii"
"Minuartia elegans"
"Minuartia macrocarpa"
"Minuartia arctica"
"Minuartia obtusiloba"
"Minuartia yukonensis"
"Minuartia biflora"
"Minuartia groenlandica"
"Cherleria dicranoides"
"Honckenya peploides diffusa"
"Honckenya peploides major"
"Wilhelmsia physodes"
"Arenaria humifusa"
"Arenaria longipedunculata"
"Arenaria norvegica  norvegica"
"Arenaria pseudofrigida"
"Eremogone capillaris"
"Eremogone formosa"
"Eremogone polaris"
"Eremogone tschuktschorum"
"Moehringia lateriflora"
"Moehringia macrophylla"
"Spergularia salina"
"Spergularia canadensis"
"Spergularia rubra"
"Silene tatarica"
"Silene paucifolia"
"Silene stenophylla"
"Silene repens"
"Silene vulgaris  vulgaris"
"Silene uniflora  uniflora"
"Silene dioica"
"Silene samojedora"
"Silene villosula"
"Silene wahlbergella"
"Silene uralensis coll."
"Silene uralensis uralensis"
"Silene uralensis arctica"
"Silene violascens"
"Silene soczavana var. macrosperma"
"Silene involucrata coll."
"Silene involucrata involucrata"
"Silene involucrata tenella"
"Silene involucrata furcata"
"Silene sorensenis"
"Silene ostenfeldii"
"Silene acaulis"
"Viscaria alpina"
"Gypsophila uralensis"
"Gypsophila sambukii"
"Dianthus repens"
"Dianthus superbus"
"Chenopodium album"
"Chenopodium karoi"
"Chenopodium jenissejense"
"Chenopodium capitatum"
"Chenopodium salinum"
"Chenopodium rubrum"
"Atriplex prostrata  prostrata"
"Atriplex glabriuscula"
"Atriplex longipes praecox"
"Atriplex lapponica"
"Atriplex gmelinii  gmelinii"
"Corispermum crassifolium"
"Corispermum ochotense"
"Monolepis nuttalliana"
"Monolepis asiatica"
"Salicornia rubra"
"Suaeda maritima"
"Suaeda calceoliformis"
"Claytonia tuberosa"
"Claytonia multiscapa czukczorum"
"Claytonia acutifolia"
"Claytonia eschscholtzii"
"Claytonia joanneana"
"Claytonia arctica"
"Claytonia scammaniana"
"Claytonia sarmentosa"
"Claytoniella vassilievii"
"Montia fontana  fontana"
"Geocaulon lividum"
"Paeonia anomala"
"Rhodiola rosea"
"Rhodiola integrifolia"
"Rhodiola quadrifida"
"Hylotelephium telephium"
"Phedimus kamtschaticus"
"Sedum acre"
"Sedum annuum"
"Sedum villosum  villosum"
"Myriophyllum alterniflorum"
