"","scientificName"
"538","Arnica latifolia"
"539","Arnica intermedia"
"540","Saxifraga ursina"
"541","Lychnis ajanensis"
"542","Sieversia pusilla"
"543","Cryptogramma"
"544","Melica subulata"
"545","Agrostis hyemalis"
"546","Carex chlorostachys"
"547","Carex rigidioides"
"548","Platanthera unalascensis"
"549","Cypripedium x alaskanum"
"550","Oreomecon alpina"
"551","Solanum tuberosum"
"552","Melilotus suaveolens"
"553","Rubus idaeus  subsp. strigosus"
"554","Ranunculus aquatilis var. lobbii"
"555","Draba praealta"
"556","Leontopodium ochroleucum"
"557","Symphyotrichum subspicatum"
"558","Saxifraga multiflora"
"559","Poa raduliformis"
"560","Poa almasovii"
"561","Deschampsia flexuosa"
"562","Tephroseris x arctisibirica"
"563","Potamogeton richardsonii"
"564","Oxytropis campestris"
"565","Potentilla evestita"
"566","Potentilla petrovskyi"
"567","Anthriscus nemorosa"
"568","Arabis eschscholtziana"
"569","Taraxacum stepanovae"
"570","Taraxacum leucocarpum"
"571","Taraxacum czukoticum"
"572","Saussurea pseudoangustifolia"
"573","Stellaria kolymensis"
"574","Gastrolychnis brachypetala"
"575","Barbarea vulgaris  subsp. arcuata"
"576","Pleuroziopsis ruthenica"
"577","Axyris hybrida"
"578","Dracocephalum nutans"
"579","Chrysosplenium rimosum  subsp. dezhnevii"
"580","Urtica dioica  subsp. holosericea"
"581","Juncus leucochlamus"
"582","Arabis stelleri"
"583","Dactylorhiza incarnata  subsp. incarnata"
"584","Dactylorhiza majalis"
"585","Hieracium praealtum"
"586","Pilosella piloselloides  subsp. praealta"
"587","Medicago sativa  subsp. sativa"
"588","Botrychium"
"589","Carex macroprophylla"
"590","Ophioglossum pusillum"
"591","Gymnocarpium x intermedium"
"592","Tsuga heterophylla"
"593","Juncus decipiens"
"594","Sparganium probatovae"
"595","Bromus tectorum"
"596","Arrhenatherum elatius"
"597","Festuca occidentalis"
"598","Holcus lanatus"
"599","Lolium arundinaceum"
"600","Festuca pratensis"
"601","Agrostis idahoensis"
"602","Carex ornithopoda"
"603","Carex ornithopoda  subsp. ornithopoda"
"604","Carex magellanica"
"605","Carex phacota"
"606","Carex lenticularis  var. dolia"
"607","Carex oxyandra"
"608","Elleanthus graminifolius"
"609","Goodyera oblongifolia"
"610","Allium victorialis"
"611","Zostera marina"
"612","Alnus hirsuta"
"613","Sambucus racemosa f. nuda"
"614","Rumex obtusifolius  subsp. transiens"
"615","Vitex negundo"
"616","Nephrophyllidium crista-galli"
"617","Solanum sisymbriifolium"
"618","Medicago platycarpos"
"619","Rubus idaeus  f. succineus"
"620","Rubus idaeus f. warei"
"621","Potentilla bifurca var. major"
"622","Malus sylvestris"
"623","Chamaerhodos erecta"
"624","Heuchera parvifolia"
"625","Ranunculus muricatus var. carolinus"
"626","Ranunculus sceleratus var. typicus"
"627","Lomatium sandbergii"
"628","Conium maculatum"
"629","Cardamine scutata"
"630","Parrya asperrima"
"631","Atriplex gmelinii  var. alaskensis"
"632","Nabalus alatus"
"633","Agoseris aurantiaca var. aurantiaca"
"634","Achillea asiatica"
"635","Artemisia stelleriana"
"636","Lactuca serriola"
"637","Leontopodium stellatum"
