"x"
"Dactyloctenium aegyptium"
"Cynosurus cristatus"
"Sporobolus cryptandrus"
"Asclepias curassavica"
"Eragrostis curvula"
"Hainardia cylindrica"
"Cynodon dactylon"
"Euphorbia dentata"
"Chenopodium desiccatum  var. leptophylloides"
"Centaurea diffusa"
"Vicia disperma"
"Geranium dissectum"
"Brachypodium distachyon"
"Lepidium draba"
"Rorippa dubia"
"Trifolium dubium"
"Tragopogon dubius"
"Sclerochloa dura"
"Cenchrus echinatus"
"Cynosurus echinatus"
"Helminthotheca echioides"
"Arrhenatherum elatius"
"Aira elegantissima"
"Cuscuta epilinum"
"Cuscuta epithymum  var. macranthera"
"Cuscuta epithymum"
"Bromus erectus"
"Digitaria eriantha"
"Taraxacum erythrospermum"
"Ulex europaeus"
"Avena fatua"
"Datura ferox"
"Crepis foetida"
"Trifolium fragiferum"
"Gaudinia fragilis"
"Salix x fragilis"
"Dipsacus fullonum"
"Silene gallica"
"Tamarix gallica"
"Chloris gayana"
"Chenopodium giganteum"
"Agrostemma githago"
"Acmispon glaber"
"Hypochaeris glabra"
"Persicaria glabra"
"Oenanthe globulosa"
"Cerastium glomeratum"
"Euphorbia helioscopia"
"Hedera helix"
"Cardamine hirsuta"
"Herniaria hirsuta"
"Lathyrus hirsutus"
"Vaccaria hispanica"
"Scolymus hispanicus"
"Lotus palustris"
"Bromus hordeaceus"
"Atriplex hortensis"
"Trifolium hybridum  subsp. anatolicum"
"Bassia hyssopifolia"
"Hirschfeldia incana"
"Cuscuta indecora"
"Duchesnea indica"
"Plantago indica"
"Melilotus indicus"
"Barbarea intermedia"
"Cichorium intybus"
"Sisymbrium irio"
"Lonicera japonica"
"Bromus japonicus"
"Chondrilla juncea"
"Salsola kali"
"Salsola kali  subsp. tragus"
"Podospermum laciniatum"
"Helianthus laetiflorus"
"Erigeron laevigatus"
"Moluccella laevis"
"Carthamus lanatus"
"Holcus lanatus"
"Euphorbia lathyris"
"Lathyrus latifolius"
"Centaurium littorale"
"Valeriana locusta"
"Acacia longifolia"
"Medicago lupulina"
"Reseda luteola"
"Persicaria maculosa"
